y	x
2045	946
2044	1385
2042	2127
2041	1530
2042	2064
2042	905
2042	554
2041	2487
2041	1303
2040	1464
2039	1064
2039	400
2038	1017
2038	1594
2038	52
2038	981
2034	2535
2037	1979
2035	502
2035	1332
2036	788
2034	2397
2032	1724
2030	1830
2031	1147
2025	2446
2018	2169
2015	2418
2017	860
2014	1902
2016	767
2015	476
2011	125
2009	2309
2007	1849
2010	344
2018	285
2000	2107
2002	1668
2001	570
1999	2520
1999	798
1998	2011
1994	1694
1997	448
1991	1773
1988	496
1984	883
1982	2485
1974	882
1970	1690
1968	1067
1964	685
1963	432
1953	2291
1955	1413
1952	2165
1951	2326
1951	1845
1947	2095
1942	2143
1934	961
1943	851
1937	1887
1936	1700
1934	2541
1932	1593
1928	1547
1925	956
1920	1084
1923	826
1917	1676
1919	766
1915	481
1912	1174
1914	538
1909	92
1906	2101
1906	1898
1895	870
1892	2297
1896	1451
1892	2232
1892	1114
1890	694
1886	1279
1880	337
1880	1060
1878	2398
1874	2142
1867	2033
1870	467
1866	1908
1861	1945
1862	1711
1860	1021
1854	2111
1857	1657
1855	1590
1852	1513
1855	838
1852	615
1852	2448
1850	1618
1841	899
1839	1733
1836	2213
1834	2159
1836	1130
1834	498
1829	2116
1825	2085
1823	1042
1817	2334
1813	1991
1812	1406
1811	2510
1811	882
1809	1748
1809	1814
1804	2188
1801	2116
1793	1154
1789	56
1785	2508
1784	2274
1783	1879
1780	966
1778	452
1774	1160
1775	1001
1770	1407
1773	1192
1769	2117
1768	2145
1767	1661
1767	1549
1769	829
1766	1315
1765	1135
1762	1429
1765	116
1753	1166
1759	362
1756	2419
1756	2335
1754	50
1754	1157
1751	1444
1753	1225
1751	800
1751	772
1748	2362
1748	1768
1744	1533
1745	1380
1743	711
1743	1897
1742	1843
1740	975
1737	2257
1734	2419
1734	1336
1731	2459
1730	2219
1739	2107
1734	1286
1731	845
1727	1013
1724	422
1723	2302
1724	1605
1724	1479
1721	1650
1721	2326
1715	2174
1717	1778
1716	1109
1714	1855
1713	2408
1723	1821
1710	928
1707	2236
1705	1593
1705	1380
1708	343
1701	1997
1700	1148
1697	2525
1695	2167
1696	2359
1693	1880
1691	519
1687	1037
1687	546
1685	1119
1686	817
1693	1455
1680	1743
1679	768
1677	2067
1676	1503
1676	1179
1672	1287
1672	841
1663	2138
1657	722
1654	2504
1654	1667
1653	902
1650	465
1645	1887
1647	1861
1644	1836
1648	1440
1645	1118
1643	1334
1639	1698
1639	286
1639	1626
1636	2125
1633	1916
1635	344
1632	2076
1634	2243
1628	873
1623	1218
1618	983
1615	2191
1614	1042
1613	2085
1609	2223
1612	1773
1609	2255
1603	1019
1595	1708
1594	1829
1590	71
1590	2198
1589	1157
1587	2149
1587	2068
1584	1186
1583	1314
1579	320
1573	835
1569	1878
1569	912
1566	1809
1568	2234
1563	1591
1561	1643
1560	31
1558	1554
1559	2330
1555	1944
1555	626
1554	224
1547	1031
1542	2077
1530	2509
1529	1521
1523	1260
1521	1305
1516	1217
1517	218
1515	807
1510	964
1509	911
1506	2363
1504	366
1497	1005
1498	306
1485	1175
1483	1045
1474	925
1474	1407
1472	1465
1460	981
1457	1554
1455	1056
1452	34
1450	1006
1447	1644
1448	2167
1445	1408
1443	2255
1442	2082
1435	1319
1437	1092
1433	1225
1428	1695
1426	844
1426	771
1427	36
1426	2064
1426	285
1418	1566
1415	2417
1420	2228
1409	2087
1408	1908
1409	535
1402	589
1398	491
1398	2221
1394	2417
1392	2471
1386	2377
1388	826
1385	2147
1377	855
1369	1365
1369	281
1366	2375
1363	2525
1362	2047
1364	2010
1360	1952
1362	255
1362	102
1358	2203
1357	2425
1357	1468
1355	2480
1357	833
1352	1146
1341	1311
1341	2456
1340	2068
1341	1369
1339	2231
1339	645
1337	2324
1337	1827
1337	288
1324	2277
1324	1081
1322	62
1317	2422
1318	915
1316	1242
1315	2319
1313	1883
1313	1410
1309	2525
1301	891
1297	562
1296	2229
1296	1762
1290	2504
1289	2434
1289	1356
1287	372
1287	290
1283	2466
1284	1727
1280	1085
1275	209
1275	979
1271	1118
1273	2353
1270	2414
1268	1139
1264	1180
1261	2275
1262	802
1257	1887
1253	2376
1254	2200
1251	7
1251	1411
1250	857
1244	2405
1244	2321
1242	1954
1240	826
1235	1637
1234	174
1227	805
1225	1071
1225	390
1223	2359
1220	509
1220	1881
1219	217
1216	2548
1210	1535
1209	1457
1208	1806
1210	334
1207	7
1206	2315
1205	367
1203	71
1201	887
1196	131
1194	1709
1192	2521
1190	1021
1188	33
1180	2002
1176	2490
1175	2303
1172	1919
1171	1282
1167	2197
1160	473
1162	181
1159	2502
1160	825
1158	617
1158	2469
1155	1471
1158	664
1154	725
1154	205
1150	1042
1146	1557
1144	352
1148	76
1143	2178
1139	2025
1138	2314
1138	2442
1134	2352
1133	4
1125	293
1121	102
1120	1929
1121	412
1115	2503
1114	1789
1112	1611
1105	219
1100	1896
1100	1414
1099	2148
1095	2256
1094	88
1094	378
1093	539
1089	1976
1081	852
1081	1135
1079	1257
1076	71
1073	365
1073	556
1072	494
1067	2356
1067	2123
1059	2511
1063	1919
1059	539
1058	2429
1050	2223
1046	2381
1045	2261
1046	1078
1046	457
1041	833
1036	10
1037	1822
1036	856
1032	2081
1027	591
1024	2026
1021	753
1012	1594
1010	1510
1008	920
1008	881
1007	2137
1006	1748
997	2080
997	422
995	2051
989	1775
985	1690
983	755
979	317
971	1017
970	81
966	2045
962	1639
963	559
962	465
958	1731
956	2306
956	2171
950	1234
944	2029
943	223
939	303
936	608
929	1003
928	28
928	976
929	417
923	319
921	61
921	2006
920	485
914	886
911	1118
910	250
909	1971
907	570
897	1478
899	1223
903	1165
891	29
892	323
887	1365
893	471
887	1959
887	636
882	813
874	427
873	926
868	1244
867	401
863	1986
862	322
863	456
856	1947
858	203
851	857
848	730
847	1411
848	2207
845	1696
840	1633
839	1151
837	1928
836	560
833	1448
827	619
826	882
823	729
824	1277
825	338
822	1014
822	391
822	42
822	272
818	236
810	1173
812	1786
809	795
802	1483
798	921
795	750
792	696
791	52
789	1504
789	530
785	939
782	723
782	1162
779	660
772	891
770	1447
768	1067
759	127
757	738
756	63
750	852
747	1219
745	1624
746	322
738	1467
738	561
733	363
731	33
721	1405
720	1013
713	1497
715	475
712	597
708	755
705	952
684	1496
679	883
678	1110
678	669
675	1156
677	1064
673	713
672	1599
665	437
644	1633
643	1541
641	1026
641	978
636	417
629	367
626	588
620	1352
611	1005
612	641
613	552
610	1159
606	765
603	911
597	315
597	606
575	1111
572	351
569	1049
570	533
567	788
561	1013
557	1199
550	648
543	1268
538	873
532	773
529	818
528	535
518	126
514	1017
494	763
491	668
490	1083
468	1135
472	1053
460	953
449	1008
452	842
447	17
445	1206
430	831
426	952
415	1048
415	725
406	547
403	884
404	1126
391	672
377	1098
374	31
372	847
364	1069
360	976
356	1110
352	879
349	926
333	1142
327	960
320	1077
309	485
310	1030
304	733
287	126
285	947
259	334
265	771
253	1295
253	1181
249	403
242	371
211	1051
195	515
177	648
161	348
130	296
128	395
116	682
93	1011
85	607
34	1219
28	1139
21	1171
14	874
14	841
