y	x
1071	650
1049	964
1040	617
1041	872
1032	1103
1022	756
990	2431
984	2398
980	2522
971	2300
964	2173
968	1849
966	2036
965	2212
965	1915
954	1955
950	544
952	2126
953	1802
948	1667
954	2366
944	1080
943	1612
939	1480
941	2467
953	2077
953	2004
935	1884
936	1710
943	2417
940	2309
938	2172
938	1404
936	1585
928	2343
928	1049
927	1513
925	2047
921	896
921	1966
913	1542
915	1246
909	951
915	2211
905	1109
907	1796
907	2071
914	2432
899	1045
897	1421
891	1363
917	852
892	1962
896	2176
897	1607
892	1506
915	1822
886	1485
887	1771
891	1178
889	2247
879	2144
881	1939
877	2106
871	1332
878	1669
878	865
891	909
869	2500
865	1375
862	1246
926	2273
857	1518
859	1416
893	1916
863	1563
859	1780
884	1876
856	1959
850	1355
852	2116
851	2085
856	2437
850	1654
857	1167
867	1719
868	948
841	2509
838	2417
838	1862
834	1325
881	992
838	2240
835	1558
836	1502
834	907
835	1752
827	1595
829	2196
830	1927
827	1521
824	1366
840	2542
823	1195
820	2436
819	1406
820	1245
868	2350
812	2258
815	1708
812	1951
817	2154
808	2493
807	1674
858	2009
824	1620
856	2470
790	2532
799	1932
838	1813
784	2513
799	2055
790	1214
811	1864
791	2316
797	1903
793	2212
785	2442
784	2281
788	2128
782	1285
791	1172
788	1720
779	1376
781	1604
775	2354
780	2171
782	1427
772	2388
775	1254
777	1992
765	1745
773	1864
773	1406
772	2410
777	1570
762	2328
753	1644
752	1603
752	2147
756	1307
750	2004
747	1701
751	1817
748	1351
743	2338
750	1766
744	1204
745	2396
755	1280
782	1815
742	1873
743	2263
735	1163
736	2195
736	1846
732	1670
730	1297
727	1277
725	1254
729	1100
716	1280
750	2471
736	2237
734	2118
721	2176
717	1180
722	2376
731	1729
728	1953
716	1583
715	1046
718	1993
714	1688
711	1526
710	1428
714	1811
708	1126
694	579
700	567
699	1354
703	1019
699	1468
696	2359
699	2205
701	2145
697	2403
699	2230
691	1206
694	1970
692	1326
683	2095
721	2515
680	1147
708	1640
680	2254
695	1772
670	1098
671	2226
676	1254
668	1184
694	2462
694	1833
680	2175
667	2383
677	2422
658	2003
685	1879
657	2457
688	1909
656	2277
658	2522
652	2145
663	1941
654	1582
659	1806
632	2544
656	1727
639	1676
636	2379
637	1335
634	1656
644	2197
681	2036
645	1616
630	2474
631	1933
633	1861
630	1480
631	2401
632	1227
678	2327
627	2255
631	1250
616	1115
634	2170
625	1564
627	2433
630	1386
614	2459
613	1793
624	2061
615	1831
611	1765
603	2233
604	1317
620	2090
605	1417
641	1994
597	2365
598	1228
595	1481
645	1540
603	1709
595	1815
587	2471
597	1744
583	2443
605	2509
584	2120
601	2294
584	1865
587	1391
589	2198
574	1494
574	2394
599	1898
573	2076
572	1772
569	2100
576	1991
569	1602
571	1841
567	1361
570	1562
560	2216
557	1264
566	2179
547	1785
543	2107
556	1728
543	2373
544	1866
544	2418
549	2156
539	2398
541	2287
531	2503
524	1803
564	2341
527	2028
523	1242
522	1748
515	1207
513	2064
515	1844
524	2531
519	2470
498	2507
503	2148
513	1632
501	2367
495	2310
465	2122
464	1888
441	2525
447	2324
438	2018
415	2318
377	2219
