=== Model Evaluation Results ===

Image: 6.bmp_4738_0.png | Predicted: 0 | Actual: 0 | Probability: 94.22%
Image: 6.bmp_3228_0.png | Predicted: 0 | Actual: 0 | Probability: 68.31%
Image: 6.bmp_1958_0.png | Predicted: 0 | Actual: 0 | Probability: 64.90%
Image: 6.bmp_514_0.png | Predicted: 0 | Actual: 0 | Probability: 92.81%
Image: 6.bmp_2228_0.png | Predicted: 0 | Actual: 0 | Probability: 78.01%
Image: 6.bmp_551_0.png | Predicted: 0 | Actual: 0 | Probability: 80.01%
Image: 6.bmp_180_0.png | Predicted: 0 | Actual: 0 | Probability: 94.68%
Image: 6.bmp_5050_0.png | Predicted: 0 | Actual: 0 | Probability: 91.65%
Image: 6.bmp_2540_0.png | Predicted: 0 | Actual: 0 | Probability: 75.39%
Image: 6.bmp_2191_0.png | Predicted: 0 | Actual: 0 | Probability: 83.51%
Image: 6.bmp_5015_0.png | Predicted: 0 | Actual: 0 | Probability: 93.64%
Image: 6.bmp_842_1.png | Predicted: 1 | Actual: 1 | Probability: 64.75%
Image: 6.bmp_2505_0.png | Predicted: 0 | Actual: 0 | Probability: 93.44%
Image: 6.bmp_239_0.png | Predicted: 0 | Actual: 0 | Probability: 85.39%
Image: 6.bmp_2997_0.png | Predicted: 0 | Actual: 0 | Probability: 95.47%
Image: 6.bmp_3191_0.png | Predicted: 0 | Actual: 0 | Probability: 51.35%
Image: 6.bmp_4481_0.png | Predicted: 0 | Actual: 0 | Probability: 58.25%
Image: 6.bmp_1636_0.png | Predicted: 0 | Actual: 0 | Probability: 81.25%
Image: 6.bmp_4050_0.png | Predicted: 0 | Actual: 0 | Probability: 95.93%
Image: 6.bmp_3540_0.png | Predicted: 0 | Actual: 0 | Probability: 87.51%
Image: 6.bmp_4813_0.png | Predicted: 0 | Actual: 0 | Probability: 89.46%
Image: 6.bmp_3997_0.png | Predicted: 0 | Actual: 0 | Probability: 96.28%
Image: 6.bmp_4015_0.png | Predicted: 0 | Actual: 0 | Probability: 97.23%
Image: 6.bmp_1673_0.png | Predicted: 1 | Actual: 0 | Probability: 57.20%
Image: 6.bmp_4856_0.png | Predicted: 0 | Actual: 0 | Probability: 89.91%
Image: 6.bmp_3505_0.png | Predicted: 0 | Actual: 0 | Probability: 94.92%
Image: 6.bmp_4439_0.png | Predicted: 0 | Actual: 0 | Probability: 91.10%
Image: 6.bmp_1861_1.png | Predicted: 1 | Actual: 1 | Probability: 53.07%
Image: 6.bmp_2129_0.png | Predicted: 0 | Actual: 0 | Probability: 81.43%
Image: 6.bmp_615_0.png | Predicted: 0 | Actual: 0 | Probability: 85.70%
Image: 6.bmp_650_0.png | Predicted: 0 | Actual: 0 | Probability: 92.54%
Image: 6.bmp_2290_0.png | Predicted: 0 | Actual: 0 | Probability: 58.33%
Image: 6.bmp_2641_0.png | Predicted: 0 | Actual: 0 | Probability: 67.56%
Image: 6.bmp_138_0.png | Predicted: 0 | Actual: 0 | Probability: 80.08%
Image: 6.bmp_2604_0.png | Predicted: 0 | Actual: 0 | Probability: 95.54%
Image: 6.bmp_3641_0.png | Predicted: 0 | Actual: 0 | Probability: 50.81%
Image: 6.bmp_1537_0.png | Predicted: 1 | Actual: 0 | Probability: 50.75%
